station,station_longitude,station_latitude,area,bottom_depth
170,-123.3667,38.1667,Point Reyes,199
167,-123.1667,38.1667,Point Reyes,98
138,-122.9083,37.7,Gulf of the Farallones,54
114,-121.8667,36.7667,Monterey Bay Inside,217
112,-121.9467,36.655,Monterey Bay Inside,78
110,-122.175,36.5833,Monterey Bay Outside,2329
117,-122.1083,36.7,Monterey Bay Outside,1865
124,-122.375,36.9833,Davenport,124
127,-122.7583,36.9833,Davenport,1000
131,-122.5667,37.275,Pescadero,82
132,-122.65,37.275,Pescadero,98
134,-122.9833,37.275,Pescadero,550
152,-123.0417,37.6583,Farallones Outside,109
156,-123.1383,37.7433,Farallones Outside,89
167,-123.1667,38.1667,Point Reyes,91
170,-123.3667,38.1667,Point Reyes,182
139,-122.8667,37.7917,Gulf of the Farallones,56
138,-122.9083,37.7,Gulf of the Farallones,56
114,-121.8667,36.7667,Monterey Bay Inside,172
112,-121.9467,36.655,Monterey Bay Inside,106
114,-121.8667,36.7667,Monterey Bay Inside,78
110,-122.175,36.5833,Monterey Bay Outside,1973
117,-122.1083,36.7,Monterey Bay Outside,1911
124,-122.375,36.9833,Davenport,121
131,-122.5667,37.275,Pescadero,82
132,-122.65,37.275,Pescadero,95
134,-122.9833,37.275,Pescadero,546
171,-123.4833,38.1667,Point Reyes,301
170,-123.3667,38.1667,Point Reyes,207
167,-123.1667,38.1667,Point Reyes,94
156,-123.1383,37.7433,Farallones Outside,115
152,-123.0417,37.6583,Farallones Outside,127
138,-122.9083,37.7,Gulf of the Farallones,55
114,-121.8667,36.7667,Monterey Bay Inside,73
112,-121.9467,36.655,Monterey Bay Inside,109
110,-122.175,36.5833,Monterey Bay Outside,2320
117,-122.1083,36.7,Monterey Bay Outside,1820
124,-122.375,36.9833,Davenport,116
127,-122.7583,36.9833,Davenport,1092
131,-122.5667,37.275,Pescadero,88
132,-122.65,37.275,Pescadero,88
134,-122.9833,37.275,Pescadero,582
156,-123.1383,37.7433,Farallones Outside,91
152,-123.0417,37.6583,Farallones Outside,102
167,-123.1667,38.1667,Point Reyes,92
170,-123.3667,38.1667,Point Reyes,166
171,-123.4833,38.1667,Point Reyes,298
139,-122.8667,37.7917,Gulf of the Farallones,63
138,-122.9083,37.7,Gulf of the Farallones,55
114,-121.8667,36.7667,Monterey Bay Inside,318
112,-121.9467,36.655,Monterey Bay Inside,76
110,-122.175,36.5833,Monterey Bay Outside,1750
124,-122.375,36.9833,Davenport,116
131,-122.5667,37.275,Pescadero,84
117,-122.1083,36.7,Monterey Bay Outside,1890
110,-122.175,36.5833,Monterey Bay Outside,2320
112,-121.9467,36.655,Monterey Bay Inside,85
114,-121.8667,36.7667,Monterey Bay Inside,120
114,-121.8667,36.7667,Monterey Bay Inside,74
124,-122.375,36.9833,Davenport,132
131,-122.5667,37.275,Pescadero,84
132,-122.65,37.275,Pescadero,84
134,-122.9833,37.275,Pescadero,574
156,-123.1383,37.7433,Farallones Outside,84
114,-121.8667,36.7667,Monterey Bay Inside,180
112,-121.9467,36.655,Monterey Bay Inside,73
110,-122.175,36.5833,Monterey Bay Outside,2320
117,-122.1083,36.7,Monterey Bay Outside,1820
124,-122.375,36.9833,Davenport,130
127,-122.7583,36.9833,Davenport,1010
131,-122.5667,37.275,Pescadero,81
132,-122.65,37.275,Pescadero,94
134,-122.9833,37.275,Pescadero,546
152,-123.0417,37.6583,Farallones Outside,115
156,-123.1383,37.7433,Farallones Outside,86
170,-123.3667,38.1667,Point Reyes,200
167,-123.1667,38.1667,Point Reyes,92
139,-122.8667,37.7917,Gulf of the Farallones,60
138,-122.9083,37.7,Gulf of the Farallones,60
114,-121.8667,36.7667,Monterey Bay Inside,245
112,-121.9467,36.655,Monterey Bay Inside,75
110,-122.175,36.5833,Monterey Bay Outside,2307
117,-122.1083,36.7,Monterey Bay Outside,1910
127,-122.7583,36.9833,Davenport,1001
124,-122.375,36.9833,Davenport,130
131,-122.5667,37.275,Pescadero,87
132,-122.65,37.275,Pescadero,97
134,-122.9833,37.275,Pescadero,546
152,-123.0417,37.6583,Farallones Outside,100
156,-123.1383,37.7433,Farallones Outside,77
171,-123.4833,38.1667,Point Reyes,449
170,-123.3667,38.1667,Point Reyes,204
167,-123.1667,38.1667,Point Reyes,91
139,-122.8667,37.7917,Gulf of the Farallones,58
139,-122.8667,37.7917,Gulf of the Farallones,58
138,-122.9083,37.7,Gulf of the Farallones,58
171,-123.4833,38.1667,Point Reyes,390
170,-123.3667,38.1667,Point Reyes,210
167,-123.1667,38.1667,Point Reyes,91
139,-122.8667,37.7917,Gulf of the Farallones,56
402,-118.4533,32.7167,San Clemente,300
411,-119.2867,33.69,San Nicolas,900
412,-119.4483,33.5867,San Nicolas,1850
413,-119.605,33.4867,San Nicolas,800
414,-119.7633,33.3833,San Nicolas,100
422,-120.3,34.3183,San Miguel,350
442,-121.43,35.7033,Piedras Blancas,162
445,-121.8667,35.7033,Piedras Blancas,1025
114,-121.8667,36.7667,Monterey Bay Inside,75
112,-121.9467,36.655,Monterey Bay Inside,70
110,-122.175,36.5833,Monterey Bay Outside,2330
117,-122.1083,36.7,Monterey Bay Outside,1900
124,-122.375,36.9833,Davenport,125
127,-122.7583,36.9833,Davenport,1000
131,-122.5667,37.275,Pescadero,83
132,-122.65,37.275,Pescadero,99
134,-122.9833,37.275,Pescadero,500
156,-123.1383,37.7433,Farallones Outside,78
152,-123.0417,37.6583,Farallones Outside,105
138,-122.9083,37.7,Gulf of the Farallones,55
138,-122.9083,37.7,Gulf of the Farallones,55
139,-122.8667,37.7917,Gulf of the Farallones,54
139,-122.8667,37.7917,Gulf of the Farallones,54
171,-123.4833,38.1667,Point Reyes,470
170,-123.3667,38.1667,Point Reyes,200
167,-123.1667,38.1667,Point Reyes,90
454,-123.71,38.4667,Fort Ross,900
453,-123.3867,38.4667,Fort Ross,115
183,-123.2333,38.4667,Fort Ross,60
454,-123.71,38.4667,Fort Ross,900
453,-123.3867,38.4667,Fort Ross,111
183,-123.2333,38.4667,Fort Ross,60
114,-121.8667,36.7667,Monterey Bay Inside,70
112,-121.9467,36.655,Monterey Bay Inside,75
110,-122.175,36.5833,Monterey Bay Outside,2300
117,-122.1083,36.7,Monterey Bay Outside,1900
124,-122.375,36.9833,Davenport,125
